"","species.code","plots.present.field_cm_a","plots.present.greenhouse_cm_a","plots.present.field_cm_p","plots.present.greenhouse_cm_p","plots.present.field_rf_a","plots.present.greenhouse_rf_a","plots.present.field_rf_p","plots.present.greenhouse_rf_p"
"1","amealn",0,1,0,2,2,1,1,0
"2","bisbis",3,0,2,0,4,0,2,0
"3","branching.long.leaf",0,1,0,2,0,1,0,0
"4","carsp",5,0,1,0,6,0,2,0
"5","cerarv",1,0,1,0,1,0,1,0
"6","dancal",1,1,0,1,0,4,0,0
"7","danuni",3,0,3,0,5,0,2,0
"8","darcal",1,0,0,0,4,0,0,0
"9","descae",2,0,1,0,1,0,0,0
"10","deselo",1,0,0,0,1,0,0,0
"11","elesp",2,4,0,1,0,6,0,3
"12","epicil",0,3,0,1,0,1,0,0
"13","erylin",1,0,0,0,3,0,0,0
"14","erypri",0,5,0,4,0,6,0,2
"15","hasalb",4,0,0,0,3,0,0,0
"16","helbig",2,0,1,0,6,0,2,0
"17","jagged.rosette",0,1,0,0,0,0,0,0
"18","junens",0,4,0,2,0,0,0,1
"19","junsp",3,0,2,0,6,0,0,0
"20","lincal",1,0,3,0,2,0,3,0
"21","marpol",0,2,0,2,0,4,0,3
"22","pincon",1,0,2,0,2,0,2,0
"23","prijef",1,0,0,0,0,0,0,0
"24","schjam",1,0,1,0,0,0,2,0
"25","sisida",2,0,0,0,2,0,1,0
"26","sticky.grass",0,2,0,0,0,1,0,0
"27","teardrop.cluster",0,2,0,0,0,1,0,0
"28","trilon",5,1,3,1,6,5,3,3
"29","two.teardrop.thick.sprout",0,1,0,0,0,3,0,1
"30","unidentified.sedge?",0,3,0,0,0,3,0,1
"31","unkast",1,0,1,0,4,0,1,0
"32","unkfab",2,0,3,0,5,0,2,0
"33","unkfb",3,0,1,0,2,0,1,0
"34","unkgra",1,0,2,0,2,0,2,0
"35","vioadu",2,1,1,2,5,4,3,2
"36","white.based.soft.grass",0,3,0,4,0,4,0,1
"37","abicon",0,0,2,0,0,0,3,0
"38","achmil",0,0,3,0,3,0,2,2
"39","anedru",0,0,1,0,0,0,1,0
"40","carmul",0,0,1,0,0,0,0,0
"41","coltra",0,0,1,0,0,0,0,0
"42","control.clover",0,0,0,1,0,2,0,1
"43","elyely",0,0,1,0,0,0,0,0
"44","erylan",0,0,1,0,0,0,0,0
"45","lewsp",0,0,1,0,0,0,0,0
"46","nocfen",0,0,2,0,1,0,1,0
"47","phapri",0,0,2,0,0,0,0,0
"48","pinmon",0,0,1,0,0,0,0,0
"49","potgra",0,0,3,2,6,4,3,2
"50","sidore",0,0,1,1,2,3,2,1
"51","spispl",0,0,1,0,1,0,1,0
"52","unkapi",0,0,1,0,0,0,0,0
"53","unkeri",0,0,1,0,0,0,0,0
"54","aqufor",0,0,0,0,1,0,1,0
"55","carsp2",0,0,0,0,1,0,0,0
"56","cirsp",0,0,0,0,3,0,2,0
"57","fuzzy.teardrop",0,0,0,0,0,1,0,1
"58","helicopter.plant",0,0,0,0,0,1,0,1
"59","jagged.fred",0,0,0,0,0,1,0,0
"60","jagged.teardrop",0,0,0,0,0,2,0,0
"61","liverwort/fuzzy.lobed",0,0,0,0,0,2,0,0
"62","long.flared.plant",0,0,0,0,0,1,0,0
"63","new.unidentified.sprout?",0,0,0,0,0,1,0,0
"64","not.a.viola",0,0,0,0,0,1,0,0
"65","oval.leaf.vine",0,0,0,0,0,3,0,1
"66","probably.viola",0,0,0,0,0,1,0,0
"67","pruvul",0,0,0,0,2,0,0,0
"68","red.vein.opposite.leaves",0,0,0,0,0,1,0,0
"69","shiny.top.leaf",0,0,0,0,0,1,0,0
"70","single.leaf.strong.vein",0,0,0,0,0,3,0,2
"71","unkmon",0,0,0,0,1,0,0,0
"72","calnud",0,0,0,0,0,0,1,0
"73","maidenhair.fern",0,0,0,0,0,0,0,1
"74","phldif",0,0,0,0,0,0,1,0
"75","pollem",0,0,0,0,0,0,1,0
"76","senint",0,0,0,0,0,0,1,0
"77","silbri",0,0,0,0,0,0,1,0
